AAL70;KDFW;B772
AAL704;KCLT;B772
AAR541;RKSI;A359
AAR5419;RKSI;A359
AAR7917;LOWW;B744
AAR793;EGSS;B744
AAR795;LOWW;B744
ACA7315;CYVR;B789
ACA840;CYYZ;B77W
ACA842;CYYZ;B788
ACA844;CYUL;B77W
ACA848;CYYC;B789
AEA21AW;LEMD;B738
AEA51HD;LEMD;B738
AEE13;LGAV;A20N
AEE530;LGTS;A20N
AEG462;EIDW;SF34
AEG9102;EDSB;SF34
AFR12LY;LFPG;E190
AFR21RN;LFPG;E190
AFR69AD;LFPG;E190
AFR73EV;LFPG;E170
AFR81EW;LFPG;E190
AHO227J;EDXW;E550
AHO266Q;LIPO;E55P
AHO8368;KAPF;FA7X
AIC121;VIDP;B788
ALK553;VCBI;A333
ANA1903;LOWW;B789
ANA1925;LOWW;B789
ANE18KC;LEMD;CRJX
ANE48HA;LEMD;CRJX
ANE81ZZ;LEMD;CRJX
ASL76B;LYBE;A319
ATG4438;EDDM;B744
ATG5533;UACC;B744
ATL9K;LSZR;C56X
AUA1B;LOWW;A320
AUA1CG;LOWW;A320
AUA1E;LOWW;A320
AUA1FR;LOWW;A320
AUA1G;LOWW;A320
AUA6001;LOWW;B772
AUA6052;LOWW;B772
AXA222;LOWW;CL30
AXE100P;LZIB;B738
AXE9651;OKAS;B738
BAV73;VVNB;B789
BAW902N;EGLL;A319
BAW904N;EGLL;A319
BAW906;EGLL;A388
BAW908N;EGLL;A319
BAW910N;EGLL;A319
BAW914N;EGLL;A319
BCS29Q;EDDP;A306
BCS371;KORD;A333
BCS6015;LFRN;A306
BCS6259;LEMD;A306
BCS6717;EGGW;A306
BCS91K;EDDP;B752
BEL6NX;EBBR;A319
BEL8QB;EBBR;A320
BFY567R;OEJN;GLF5
BID21A;EDDW;SW4
BOX413;KORD;B77L
BOX417;KDFW;B77L
BOX425;KATL;B77L
BOX453;KJFK;B77L
BOX499;KLAX;B77L
BOX621;VOBL;B77L
BOX623;VABB;B77L
BOX691;VOBL;B77L
BTI6JK;EVRA;BCS3
BTI83L;EVRA;BCS3
BZE03A;EGKB;LJ75
CAL061;RCTP;B77W
CAL2061;RCTP;A359
CAO1041;ZSPD;B744
